"reference_no","aff_country","samp_country"
50781,"Japan",NA
50781,"Vietnam",NA
58374,"USA",NA
55498,"Egypt",NA
55498,"UK",NA
56172,"Brazil",NA
77668,"India",NA
65715,"India",NA
53749,"Thailand",NA
53749,"Australia",NA
67985,"Argentina","Argentina"
67985,"USA","Argentina"
77953,"India","India"
83278,"Russia",NA
55830,"USA",NA
55830,"New Zealand",NA
55830,"Philippines",NA
55830,"France",NA
55830,"UK",NA
55830,"Ireland",NA
67364,"Russia","Russia"
78046,"India","India"
69199,"USA",NA
69199,"India",NA
69199,"The Netherlands",NA
74174,"Iraq","Iraq"
80805,"Japan","Japan"
80805,"China","Japan"
77915,"India","India"
74642,"Slovakia","Slovakia"
77930,"India","India"
80622,"India","India"
77826,"Croatia","Croatia"
65994,"China","South Korea"
65994,"South Korea","South Korea"
80950,"Nepal","Nepal"
80950,"India","Nepal"
80950,"Germany","Nepal"
80619,"India","Bhutan"
66908,"Germany","Germany"
80621,"India",NA
80620,"India","Bhutan"
68533,"Italy","Iran"
68533,"Iran","Iran"
78267,"Italy","Italy"
78267,"Italy","France"
78267,"Italy","Czechia"
78267,"Italy","Spain"
78267,"Slovakia","Italy"
78267,"Slovakia","France"
78267,"Slovakia","Czechia"
78267,"Slovakia","Spain"
85198,"Palestine","Egypt"
72895,"USA",NA
75505,"Russia",NA
75505,"UK",NA
75505,"Poland",NA
75505,"Denmark",NA
88435,"Argentina","Argentina"
81956,"USA","United States"
81956,"Canada","United States"
85994,"Argentina","Argentina"
